Date,Difficulty,Miners_Revenue,Hash_Rate,Total_transaction_fees,Total_Bitcoins,Class
2012-02-26,1376302.26788638,40310.4,10.3992862379324,4.78372398,8438300.0,3
2019-10-01,12759819404400.0,15347785.3282141,90704051.0117,48.26497357,17968237.5,2
2012-09-14,2694047.95295501,84551.634,21.6953397221204,16.00925068,9946350.0,2
2013-07-28,31256960.7278,411693.056710057,257.929462966,23.82217431,11477275.0,3
2017-11-11,1364422081125.0,8125360.76957,5426063.16330753,317.05792683,16675300.0,3
2016-03-25,165496835118.0,1523337.52,1192899.383,33.72267197,15356175.0,3
2021-02-12,21434395961349.0,53308083.0824142,151302363.56734022,202.39953165999995,18626925.0,3
2018-04-15,3839316899030.0,17099064.2208301,31109116.9538,24.30501194,16979400.0,2
2015-01-05,40640955016.5765,1089761.6,339405.835755784,12.85666757,13695100.0,1
2019-07-27,9013786945890.0,18834366.1429315,68107822.4786,33.04147241,17841637.5,3
2014-10-26,35985640265.1,1332240.5,266539.526175,12.80693278,13425225.0,3
2021-05-23,25046487590083.0,28944158.98421438,148163050.51400563,81.40676948000001,18716931.25,3
2013-10-09,189281249.281033,620012.72,1721.88761457957,29.73024401,11820025.0,2
2015-05-19,48807487244.7,818617.777220403,344525.135825,15.68797983,14178425.0,3
2020-10-13,19298087186263.0,12872175.626639746,159245977.48262888,74.07427083999998,18516393.75,3
2020-12-29,18599593048299.0,28221057.092363108,140537799.38571388,105.85291042999998,18584712.5,2
2016-05-28,199312067531.0,1698374.90534981,1317744.93011,52.34180926,15595100.0,2
2018-07-07,5363678461480.0,12914635.5,41594264.7942,16.56969368,17136962.5,2
2013-11-16,609482679.888,2334241.72723504,5847.4268319,14.2659898,12004200.0,3
2015-02-04,41272873894.697,801443.19,330321.39604091,12.51951528,13802700.0,3
2015-09-04,56957648455.0,983178.575379109,430369.76945,25.08295191,14574275.0,3
2018-11-01,7183013626020.0,12319622.9516,54999360.8518,17.45938887,17354600.0,2
2012-11-17,3368767.14053,94360.2,26.6265093372,25.4443562,10425500.0,3
2012-09-08,2694047.95295501,85465.8896,18.7490590191164,20.56845317,9894400.0,3
2021-05-21,25046487590083.0,31984319.396481585,136957441.6516018,131.01122920000003,18715318.75,3
2015-08-31,54256630327.9,923760.0,428840.763924,25.0420155,14559975.0,3
2016-05-22,194254820283.0,2084432.9315678,1776788.54673,43.20770201,15572925.0,2
2019-07-30,9013786945890.0,17750997.0400789,63627044.6839,60.22741784,17847175.0,2
2015-02-12,44455415962.3,700112.57856552,309384.699958,12.55298681,13832850.0,3
2014-11-11,39603666252.4,1312768.2932778,265775.705243,13.37416163,13492950.0,3
2017-08-04,860221984436.0,6553817.39554,7654374.1549891,113.47123621,16487187.5,1
2017-12-30,1873105475220.0,33640243.617,13687548.998,778.5711097,16772462.5,1
2020-08-29,17557993035167.0,11257775.012961268,127430634.91826336,65.85247621999999,18474456.25,3
2015-08-03,52278304845.5917,1035690.0,382018.988559187,34.06960048,14460300.0,2
2013-07-01,21335329.114,388930.47029171,166.511839174,24.12834059,11355125.0,3
2015-12-24,93448670796.3,1768771.21282915,692158.434651,36.33612595,14999975.0,2
2012-05-29,1591074.96184731,31117.76,10.756616088196,16.86572549,9112500.0,2
2020-07-02,15784217546288.0,9907317.70423729,128680584.459468,56.01403666,18421156.25,3
2019-08-29,10183488432900.0,20199158.8493224,83526952.7019,33.917443,17902500.0,3
2017-08-24,891643263405.0,7293876.044236,4459277.50765,385.99923422,16523925.0,3
2017-05-19,559970892890.0,4746879.57975,4565153.86753,442.811934,16339975.0,2
2019-02-18,6061518831030.0,7556019.10851886,46704558.9956,29.40410079,17545737.5,1
2013-01-21,3249549.58448721,56798.11,23.5842539588777,29.87214152,10689775.0,1
2017-01-23,392963262344.0,1683925.09571495,2715269.05187,109.01172711,16121362.5,3
2018-02-28,3007383866430.0,20144045.5125,23172168.7464,51.29908837,16890950.0,1
2013-05-17,11187257.4614,490901.81071408,81.7498729686,55.40377799,11165250.0,3
2019-02-28,6071846049921.0,7350871.43467,45274965.6436762,30.29594178,17563812.5,2
2021-04-11,23137439666472.0,58799840.659562446,166774412.8321436,62.98652347,18680143.75,2
2014-07-12,16818461371.1611,2434643.1,137948.291170128,9.32359299,13014750.0,3
2015-09-08,56957648455.01,851509.24,393561.828641381,28.37170322,14589825.0,3
2016-08-07,201893210853.0,1101643.4,1485352.56,66.98,15802450.0,3
2018-08-16,6389316883510.0,12659503.8533433,50183117.0745,24.04769454,17213900.0,3
2015-02-09,44455415962.3,1084298.90857245,331483.607098,14.88796877,13822200.0,3
2013-06-25,19339258.2724,407676.785224876,181.696991457,33.79573922,11332900.0,3
2019-04-18,6393023717200.0,10319254.175,47352040.9769,72.4195866,17652987.5,2
2018-07-27,5178671069072.0,16568111.75,42991333.5728441,20.72404572,17175200.0,2
2013-03-29,6695826.2826,381744.95805,55.2533207636,45.94568999,10964075.0,2
