Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,Class
2016-04-27,6982399.0,42654741.3584,178678307671.0,68236.0,0.875343317829,1463200.88494,1145796.94382,6.11105680011,0.949491846785688,366540.16901165,2485051.2243,1856.08527132,386129.0,239435.0,46.11149971,15479950.0,7.75,48753895795201.0,1819426960351999.8,3.1925937632172537e+22,4656151696.0,0.7662259240678817,2140956829689.1992,1312850636467.252,37.34501521417067,0.9015347671124964,134351695499.08896,6175479587394.929,3445052.534411038,149095604641.0,57329119225.0,2126.2704055053296,239628852002500.0,60.0625,3.404191532465157e+20,7.760718641431445e+22,5.704472506926482e+33,317717167128256.0,0.6707107425801709,3.132649927819573e+18,1.504260246956319e+18,228.2175091747691,0.8559999109671493,4.924529317523781e+16,1.5346383109295426e+19,6394311268.043964,5.757013672442469e+16,1.3726597661637876e+16,98045.51718684057,3.7094426475560997e+21,465.484375,1
2018-01-19,22336849.0,1934446829.373,2227847638503.0,43462.0,1.04835652121,28241982.9,18273239.6226134,119.747628347,1.16537471953,219156.117899,1953499.50915421,1476.47878788,578406.0,243619.0,491.48999429,16813375.0,13.075,498934823248801.0,3.742084535671252e+18,4.963305100383393e+24,1888945444.0,1.099051395563533,797609598123892.4,333911286305448.3,14339.494494731238,1.358098236919626,48029404012.56039,3816160332265.7397,2179989.611059594,334553500836.0,59350217161.0,241562.41448718426,282689578890625.0,170.95562499999997,1.1144631807750158e+22,7.238863565274988e+27,1.105748754705904e+37,82097346887128.0,1.152197697683981,2.252607663109084e+22,6.101640947354526e+21,1717120.4574389288,1.5826933519443964,1.0525937728395388e+16,7.45486733593489e+18,3218708418.528262,1.9350775220454742e+17,1.445884055454566e+16,118725509.71698481,4.752965898480162e+21,2235.2447968749993,1
2016-12-12,10584824.0,19721035.41,286765766820.0,86294.0,0.806014641025641,1582652.84350321,2223811.75,5.89086973037948,0.73,276318.05,1692640.28,1722.19230769231,498688.0,268662.0,93.1264006,16038212.5,6.09,112038499110976.0,388919237642473.9,8.223460501986262e+22,7446654436.0,0.649659601547693,2504790023048.796,4945338699438.0625,34.702346180301205,0.5328999999999999,76351664755.80249,2865031117478.4785,2965946.344674564,248689721344.0,72179270244.0,8672.52648871168,257224260195156.25,37.0881,1.1859077943138375e+21,7.669890057177432e+21,2.3582069567660727e+34,642601597900184.0,0.5236351505303247,3.964213052356648e+18,1.0997502307540083e+19,204.42700068668634,0.38901699999999995,2.1097343119577068e+16,4.849467072897485e+18,5107929979.826658,1.2401857975759667e+17,1.939182710229353e+16,807641.1760018752,4.1254173451652075e+21,225.86652899999999,1
2015-08-24,4101954.0,2915321.211,54256630327.89,59748.0,0.434771732484,842084.76,423446.540478744,7.19570659512,0.904918226139,436393.0,2044762.55924107,689.0,237850.0,117026.0,24.8013553,14533500.0,7.8,16826026618116.0,8499097763306.507,2.943781934537313e+21,3569823504.0,0.18902645936713883,709106743024.2576,179306972643.4166,51.778193403053464,0.8188769959985542,190438850449.0,4181053923674.09,474721.0,56572622500.0,13695084676.0,615.1072247168381,211222622250000.0,60.839999999999996,6.90195871902874e+19,2.477759998373012e+19,1.5971968818811186e+32,213289814716992.0,0.08218336122436737,5.971279815139636e+17,7.592691724957155e+16,372.5806877537507,0.7410167186450447,8.310618126399046e+16,8.54926252129675e+18,327082769.0,1.3455798261625e+16,1602680979293576.0,15255.492827799244,3.069803980470375e+21,474.55199999999996,2
2012-12-13,60270.0,481296.666,3370181.79927784,8146.0,0.169958353043,36587.93208,22.7844398482441,0.883830521052,1.10021089981,239227.0,3839017.0493206,342.0,34817.0,41397.0,32.88696018,10552175.0,11.4166666666667,3632472900.0,231646480702.71558,11358125360183.621,66357316.0,0.028885841769089027,1338676773.890693,519.1306991982538,0.7811563899430498,1.2104640240607298,57229557529.0,14738051904974.246,116964.0,1212223489.0,1713711609.0,1081.5521498809057,111348397230625.0,130.34027777777854,218929141683000.0,1.1149067885285035e+17,3.82789473628069e+19,540546696136.0,0.004909390093335068,48979414880186.19,11828.102189259514,0.690409859146465,1.331765713099489,1.3690855358990084e+16,5.657963253696808e+19,40001688.0,42205985216513.0,70942519477773.0,35568.96248572674,1.1749677735470704e+21,1488.0515046296427,2
2016-02-05,5943298.0,5209435.44,120033340651.237,93576.0,0.635658183333,1755051.09,1074040.15109727,8.12862345422,1.12709879872,402893.0,3487723.1790087,1384.0,393084.0,215910.0,41.04809873,15171900.0,6.16666666666667,35322791116804.0,27138217603527.996,1.4408002867895904e+22,8756467776.0,0.40406132603820977,3080204328510.1885,1153562246169.0464,66.07451926049548,1.2703517020760673,162322769449.0,12164212973394.553,1915456.0,154515031056.0,46617128100.0,1684.9464093478275,230186549610000.0,38.027777777777814,2.09933873798919e+20,1.4137479256225063e+20,1.7294407163461488e+33,819395228606976.0,0.25684488846457143,5.405915964174524e+18,1.2389721691755087e+18,537.0948869871746,1.431811877361843,6.539870755161596e+16,4.242540754170652e+19,2650991104.0,6.07373864676167e+16,1.0065104128071e+16,69163.84656566862,3.492367312027959e+21,234.50462962962996,2
2016-05-19,7286044.0,26518499.388,194254820283.0,71839.0,0.955482475,1415299.1043766,1168431.59867,6.37659991519156,0.844816910611,364610.092047,2544456.42695,1826.20833333333,372460.0,219145.0,54.98968957,15561800.0,9.96666666667,53086437169936.0,703230809791356.4,3.773493520318063e+22,5160841921.0,0.9129467600321257,2003071554849.2058,1365232400770.532,40.661026478421014,0.7137156124543143,132940519222.52182,6474258508647.162,3335036.8767360994,138726451600.0,48024531025.0,3023.865959004967,242169619240000.0,99.33444444451088,3.867901170233892e+20,1.8648625799074828e+22,7.330193056284503e+33,370749722762719.0,0.8723046298187266,2.8349453775803244e+18,1.5951806765883948e+18,259.27909799390125,0.6029590187684915,4.8471454950499656e+16,1.6473468672062994e+19,6090472136.269426,5.1670054162936e+16,1.0524335851473624e+16,166281.45038697348,3.768595180689032e+21,990.0332962972894,2
2016-08-13,8291140.0,11882577.72,201893210853.0,67354.0,0.66,1197995.5,1645931.21,5.67,1.15537422129249,184105.52463484,2087321.6,1324.73,361767.0,217257.0,63.74,15813512.5,8.73,68743002499600.0,141195653271840.4,4.076086858853392e+22,4536561316.0,0.43560000000000004,1435193218020.25,2709089548052.064,32.1489,1.3348895912272276,33894844201.069675,4356911461826.5605,1754909.5729,130875362289.0,47200604049.0,4062.7876,250067177587656.25,76.2129,5.699578577445335e+20,1.677768323728816e+21,8.229342636496303e+33,305555550877864.0,0.28749600000000003,1.7193550168187784e+18,4.4589750378236867e+18,182.28426299999998,1.5422970219756085,6240228074054097.0,9.094275403558155e+18,2324781358.5078173,4.7346387189204664e+16,1.0254661633873592e+16,258962.081624,3.954440438622122e+21,665.3386170000001,2
2015-07-31,3903592.0,2343295.6875,52278304845.5917,46987.0,0.719474664549,1160777.2,361228.839521953,7.11369511261,2.20415517764,187600.0,1036533.20835018,946.0,275871.0,163175.0,35.53322565,14446150.0,9.43333333333333,15238030502464.0,5491034679056.098,2.7330211575286166e+21,2207778169.0,0.5176437929278961,1347403708039.8398,130486274502.37689,50.60465815517141,4.85830004711722,35193760000.0,1074401092012.7175,894916.0,76104808641.0,26626080625.0,1262.6101250938177,208691249822500.0,88.98777777777771,5.948305396517445e+19,1.28671178833451e+19,1.428777132227329e+32,103736872826803.0,0.37243159427267003,1.5640355034881027e+18,4.7135405512036616e+16,359.98610939374265,10.708447203382077,6602349376000000.0,1.113652410958879e+18,846590536.0,2.099510966460131e+16,4344710705984375.0,44864.61048293335,3.0147850986233083e+21,839.4513703703694,2
2015-05-25,3467023.0,1966702.79067,48807487244.7,58854.0,0.425769496453901,932241.661014417,327541.502369,8.24212171673209,1.95238500236,173736.0,1039896.70267,752.382978723404,222322.0,106086.0,15.52614626,14203350.0,7.93333333333,12020248482529.0,3867919866829.166,2.382170811141553e+21,3463793316.0,0.18127966411060842,869074514530.9191,107283435774.14163,67.93257039342673,3.8118071974402574,30184197696.0,1081385152223.9385,566080.1466727022,49427071684.0,11254239396.0,241.06121768691202,201735151222500.0,62.93777777772489,4.167447795464314e+19,7.607048796180856e+18,1.1626777147948798e+32,203858091819864.0,0.07718335130570605,8.10187468971602e+17,3.513977773277047e+16,559.9085137130938,7.442115204170262,5244081770912256.0,1.1245288541139697e+18,425909066.9497891,1.0988725430930248e+16,1193917240564056.0,3742.7517234206953,2.865314960116095e+21,499.306370369741,2
