Date,Difficulty,Miners_Revenue,Hash_Rate,Total_transaction_fees,Total_Bitcoins,Class
2012-02-22,1376302.26789,38594.8260184052,11.4939479472,3.413929,8407200.0,3
2012-02-23,1376302.26788638,37704.69612,11.4939479471885,4.33478143,8414450.0,1
2012-02-24,1376302.26789,42354.78,11.4255315904,4.26574148,8414250.0,3
2012-02-25,1376302.26789,56112.0957177451,10.3992862379,3.12296116,8430400.0,2
2012-02-26,1376302.26788638,40310.4,10.3992862379324,4.78372398,8438300.0,3
2012-02-27,1376302.26789,37525.0,10.2624535243,5.47527216,8438050.0,3
2012-02-28,1376302.26789,42691.7653438576,12.7254423701,3.84771572,8455100.0,2
2012-02-29,1376302.26788638,38906.74326,12.7254423701015,6.63650636,8462900.0,2
2012-03-01,1496978.59503,33196.00752,9.89722287527,4.45115638,8461000.0,3
2012-03-02,1496978.59503,36950.8110274022,8.85540994103,4.50574566,8475500.0,2
2012-03-03,1496978.59502557,31864.7,8.85540994103212,3.95643698,8482000.0,2
2012-03-04,1496978.59503,33284.16,9.82280766568,4.57778698,8488600.0,2
2012-03-05,1496978.59503,37247.6906330359,11.0134510191,5.18860926,8483600.0,3
2012-03-06,1496978.59502557,37791.78,11.0134510190988,4.97452409,8503450.0,3
2012-03-07,1496978.59503,39020.0,11.6087726958,4.28583196,8511250.0,3
2012-03-08,1496978.59503,43451.8754475395,12.3529247917,4.07410789,8506850.0,2
2012-03-09,1496978.59502557,42755.7,12.3529247916919,5.05300613,8528200.0,2
2012-03-10,1496978.59503,33198.47,9.89722287527,3.07837341,8534850.0,3
2012-03-11,1496978.59503,36645.371567244,12.5761704205,2.90460712,8530400.0,2
2012-03-12,1496978.59502557,41170.1,12.5761704204574,10.06316769,8550900.0,1
2012-03-13,1496978.59503,37593.582,10.2692989232,5.98762025,8557800.0,2
2012-03-14,1496978.59503,45828.1974228738,9.59956203692,5.17901821,8554050.0,2
2012-03-15,1496978.59502557,38647.8,9.59956203691717,7.96536218,8571400.0,3
2012-03-16,1498294.36282,46459.8792,12.8106660827,4.23269898,8580000.0,3
2012-03-17,1498294.36282,57260.624762916,11.6189762146,3.56057831,8577050.0,2
2012-03-18,1498294.36281651,41969.4496,11.6189762145854,4.23856313,8595700.0,3
2012-03-19,1498294.36282,36871.92,11.0231312805,4.28587033,8603100.0,3
2012-03-20,1498294.36282,61229.1316624332,12.0658599151,4.81981657,8600700.0,2
2012-03-21,1498294.36281651,38078.64,12.0658599151464,3.31425094,8619000.0,3
2012-03-22,1498294.36282,31409.49,9.68248017882,3.85590401,8625500.0,3
2012-03-23,1498294.36282,33626.4589225614,12.8106660827,4.22778506,8624500.0,2
2012-03-24,1498294.36281651,39163.42722,12.810666082748,13.87452827,8642450.0,3
2012-03-25,1498294.36282,36041.43351,11.3210537475,7.26561565,8650050.0,2
2012-03-26,1498294.36282,48194.038893809,11.0231312805,3.47762179,8648400.0,2
2012-03-27,1498294.36281651,38544.44768,11.0231312805041,4.67877081,8665400.0,2
2012-03-28,1626553.48133,33802.83768,11.2390412852,4.69239431,8672350.0,3
2012-03-29,1626553.48133,40521.011266333,12.1284618186,4.465422,8672350.0,2
2012-03-30,1626553.48132894,40362.3,12.1284618185812,4.66025176,8688000.0,2
2012-03-31,1626553.48133,36987.216,12.1284618186,4.34212197,8695500.0,2
2012-04-01,1626553.48133,39046.6729283514,10.2687643397,3.8187765,8695900.0,3
2012-04-02,1626553.48132894,32084.04,10.2687643397321,4.62668219,8708250.0,2
2012-04-03,1626553.48133,35053.41,11.4007541095,3.95271361,8715300.0,3
2012-04-04,1626553.48133,39775.797735,9.62191304274,4.933347,8721250.0,2
2012-04-05,1626553.48132894,30523.84,9.62191304274106,4.94414079,8719300.0,2
2012-04-06,1626553.48133,32882.94,10.6730464004,3.89581731,8734000.0,3
2012-04-07,1626553.48133,34986.860483824,11.8050361701,3.7089169,8741300.0,2
2012-04-08,1626553.48132894,36254.4,11.8050361700857,3.83316764,8742550.0,3
2012-04-09,1626553.48133,35054.6,11.5624669337,4.69114701,8756000.0,3
2012-04-10,1626553.48133,47035.8564852886,11.5624669337,6.99130937,8763150.0,2
2012-04-11,1626553.48132894,34391.88,11.5624669337141,6.96030524,8770050.0,2
2012-04-12,1577913.48568,31171.01056,9.88325160798,4.42240979,8766350.0,2
2012-04-13,1577913.48568,33818.6669971297,10.4323211418,4.49039551,8783000.0,3
2012-04-14,1577913.48567673,29175.69206,10.4323211417541,4.03081438,8788850.0,2
2012-04-15,1577913.48568,33136.92,10.4323211418,4.67124833,8789250.0,2
2012-04-16,1577913.48568,40866.6135979236,11.1382676852,5.97850946,8802600.0,3
2012-04-17,1577913.48567673,31612.911,11.1382676851811,5.87363778,8808700.0,2
2012-04-18,1577913.48568,40507.95,12.2364067527,5.94767942,8816500.0,3
2012-04-19,1577913.48568,45875.2410504836,12.1579682479,5.84943097,8811900.0,2
2012-04-20,1577913.48567673,40310.88,12.1579682479089,6.263791,8831600.0,2
2012-04-21,1577913.48568,39725.4585,11.687337219,5.15564775,8839050.0,3
2012-04-22,1577913.48568,40283.5404409664,11.6088987141,4.86652314,8836900.0,2
2012-04-23,1577913.48567673,32006.0,11.6088987141324,5.43974157,8852600.0,3
2012-04-24,1577913.48568,35629.8,10.8245136659,5.27822828,8859500.0,2
2012-04-25,1577913.48568,39216.5834134437,12.0795297431,5.52832728,8860150.0,3
2012-04-26,1577913.48567673,32395.1832,12.0795297430837,6.9636861,8873500.0,3
2012-04-27,1508589.67206,39942.868,11.6988142999,5.3321923,8881300.0,3
2012-04-28,1508589.67206,47234.0094018669,12.4487382935,6.86687116,8889600.0,2
2012-04-29,1508589.67206029,42270.0,12.4487382935262,4.96371671,8884200.0,3
2012-04-30,1508589.67206,44780.0,13.4236394852,6.49137637,8907000.0,2
2012-05-01,1508589.67206,47536.71701085,11.5488295012,6.73048886,8907350.0,3
2012-05-02,1508589.67206029,43068.672,11.5488295012231,8.49677544,8923000.0,2
2012-05-03,1508589.67206,39964.0,11.6238219006,10.52965254,8930750.0,3
2012-05-04,1508589.67206,45386.4873647752,11.6988142999,10.45653352,8930500.0,2
2012-05-05,1508589.67206029,43892.192,11.6988142999403,8.47898308,8947150.0,3
2012-05-06,1508589.67206,43610.632,12.8237002903,10.57768272,8955700.0,2
2012-05-07,1508589.67206,49033.403499402,13.9485862807,13.4937383,8953750.0,2
2012-05-08,1508589.67206029,41859.28326,13.9485862806981,14.96129097,8973200.0,2
2012-05-09,1733207.51385,36946.125,12.4067826486,9.90617607,8980400.0,3
2012-05-10,1733207.51385,36001.347504345,10.597460179,8.83074595,8977300.0,2
2012-05-11,1733207.51384839,34310.0,10.5974601790129,12.89572253,8993400.0,3
2012-05-12,1733207.51385,33042.5968,11.3728840946,10.1650517,9000000.0,2
2012-05-13,1733207.51385,40563.4083685,12.3206244358,11.80632246,9000050.0,3
2012-05-14,1733207.51384839,33436.21,12.320624435763,19.59848847,9013700.0,2
2012-05-15,1733207.51385,28570.05774,9.6497198378,13.98413588,9019300.0,2
2012-05-16,1733207.51385,32898.7667387155,10.1666691148,13.00828295,9025200.0,3
2012-05-17,1733207.51384839,37012.95,10.1666691148254,15.75663471,9023200.0,2
2012-05-18,1733207.51385,37712.95903,12.5790990743,33.30233593,9039700.0,2
2012-05-19,1733207.51385,41472.3717139734,12.2344662229,31.84803518,9046800.0,3
2012-05-20,1733207.51384839,34066.155,12.2344662229255,18.00690588,9045450.0,3
2012-05-21,1733207.51385,30023.68,10.080510902,14.48193745,9059250.0,2
2012-05-22,1733207.51385,30649.050032369,10.4251437533,12.76867573,9065300.0,3
2012-05-23,1733207.51384839,35423.348,10.4251437533379,20.59204355,9072050.0,2
2012-05-24,1591074.96185,29967.85,9.17476078111,19.10534085,9068150.0,3
2012-05-25,1591074.96185,31620.9331111791,10.6775233228,19.27748871,9084600.0,2
2012-05-26,1591074.96184731,42290.82,10.6775233228416,15.29363421,9092800.0,2
2012-05-27,1591074.96185,35707.2,10.9148016189,20.21974674,9091100.0,3
2012-05-28,1591074.96185,37701.918392847,10.7566160882,19.49232691,9106500.0,2
2012-05-29,1591074.96184731,31117.76,10.756616088196,16.86572549,9112500.0,2
2012-05-30,1591074.96185,37954.47,11.5475437417,13.60278435,9113800.0,2
2012-05-31,1591074.96185,45140.5433353504,11.9430075685,12.52807933,9127350.0,3
2012-06-01,1591074.96184731,41223.711,11.9430075685117,9.96264787,9135150.0,2
2012-06-02,1591074.96185,41669.7839,12.496656926,15.02353311,9143050.0,2
2012-06-03,1591074.96185,42083.8550039424,11.9430075685,19.27101479,9137400.0,3
2012-06-04,1591074.96184731,37559.5,11.9430075685117,29.98382458,9157400.0,2
2012-06-05,1591074.96185,46292.61,13.3666773449,13.28754541,9165850.0,2
2012-06-06,1591074.96185,45358.3473886863,9.96568843465,11.27363476,9160600.0,3
2012-06-07,1591074.96184731,41974.56,9.96568843465216,16.81802928,9179550.0,2
2012-06-08,1583177.84744,47720.31628,13.1429330106,22.52987299,9187900.0,3
2012-06-09,1583177.84744,52582.3704469098,13.3790336036,22.71134789,9183900.0,2
2012-06-10,1583177.84744401,42810.874,13.3790336035767,20.67463329,9204100.0,2
2012-06-11,1583177.84744,39968.4,11.0180276735,12.59682379,9211100.0,2
2012-06-12,1583177.84744,50849.5310419212,12.7494320222,11.26003378,9207250.0,3
2012-06-13,1583177.84744401,43643.25,12.7494320222319,35.89565212,9226500.0,1
2012-06-14,1583177.84744,49227.525,12.5133314292,35.61308945,9234450.0,1
2012-06-15,1583177.84744,58153.4926570799,12.5920316269,33.56188777,9230700.0,3
2012-06-16,1583177.84744401,53376.13826,12.5920316268957,24.4001962,9250600.0,2
2012-06-17,1583177.84744,50932.5168,12.3559310339,26.16138093,9258450.0,2
2012-06-18,1583177.84744,79953.9891214155,14.3234359756,27.88555011,9254450.0,3
2012-06-19,1583177.84744401,45359.58179,14.3234359755939,21.58001528,9274350.0,2
2012-06-20,1726566.55919,41656.8,10.4710268813,26.27883814,9280450.0,3
2012-06-21,1726566.55919,54405.5551631226,12.1017605759,31.45712954,9278750.0,2
2012-06-22,1726566.55919348,53969.7813,12.1017605759324,15.19853598,9295600.0,3
2012-06-23,1726566.55919,46245.964,12.0159324867,16.06404355,9302600.0,3
2012-06-24,1726566.55919,46247.4991797672,13.1316976462,14.64248007,9301250.0,2
2012-06-25,1726566.55919348,47862.9366,13.1316976462245,19.65510869,9317650.0,3
2012-06-26,1726566.55919,53211.39935,13.9041504489,17.42605631,9325750.0,2
2012-06-27,1726566.55919,55523.1401997192,11.5867920408,18.18068009,9324400.0,3
2012-06-28,1726566.55919348,46707.282,11.5867920407863,11.58999775,9339500.0,2
2012-06-29,1726566.55919,47614.002,12.1875886651,14.1692415,9346600.0,2
2012-06-30,1726566.55919,45449.1543067431,11.8442763084,13.94161293,9347050.0,3
2012-07-01,1726566.55919348,54425.25,11.8442763083594,13.30033059,9361550.0,2
2012-07-02,1726566.55919,49161.255,12.4450729327,17.70742136,9368800.0,3
2012-07-03,1751454.53534,69634.4932967625,13.8433790741,12.35375229,9370600.0,2
2012-07-04,1751454.53534068,46462.51,13.8433790741358,13.38649042,9383600.0,2
2012-07-05,1751454.53534,51599.66238,13.320987411,12.41769967,9391250.0,2
2012-07-06,1751454.53534,59266.0586011312,14.8010971233,16.38467211,9399750.0,3
2012-07-07,1751454.53534068,52981.44,14.8010971232899,12.394001,9393600.0,2
2012-07-08,1751454.53534,56995.44,14.3657707373,15.91462354,9415700.0,2
2012-07-09,1751454.53534,66511.019392808,13.1468568566,15.89719336,9417050.0,3
2012-07-10,1751454.53534068,49833.819,13.1468568565692,17.78720701,9430100.0,2
2012-07-11,1751454.53534,55383.12,13.1468568566,16.10499023,9437650.0,1
2012-07-12,1751454.53534,78642.5914367299,14.0175096285,13.53006867,9445700.0,3
2012-07-13,1751454.53534068,57405.40206,14.0175096285275,16.39495791,9440650.0,2
2012-07-14,1751454.53534,57105.71682,12.9727263022,16.82730601,9460600.0,1
2012-07-15,1751454.53534,80820.2801075712,12.885661025,17.60255063,9468000.0,3
2012-07-16,1751454.53534068,84176.3,12.8856610249818,20.25827138,9464850.0,1
2012-07-17,1866391.305,71197.34925,14.0096010659,25.25477096,9484400.0,3
2012-07-18,1866391.305,85020.1226576248,13.2673705459,26.41059394,9491550.0,2
2012-07-19,1866391.30500321,64450.179,13.2673705458731,30.14867241,9488150.0,2
2012-07-20,1866391.305,73021.6,13.9168222509,28.9098919,9506000.0,3
2012-07-21,1866391.305,73600.4358809116,12.8962552858,20.01722229,9512950.0,1
2012-07-22,1866391.30500321,69211.6,12.8962552858487,23.16193893,9511150.0,3
2012-07-23,1866391.305,72280.32,14.937389216,17.55491401,9528500.0,3
2012-07-24,1866391.305,86528.605765769,14.2879375109,15.98700134,9536200.0,2
2012-07-25,1866391.30500321,79370.2,14.2879375109403,18.68667012,9535000.0,2
2012-07-26,1866391.305,75314.25,15.586840921,15.17561226,9553500.0,3
2012-07-27,1866391.305,101768.2993384,15.772398551,17.187251,9562000.0,2
2012-07-28,1866391.30500321,64596.363,15.772398551038,17.74577763,9559350.0,2
2012-07-29,2036671.08869,84829.65,18.7300417587,21.59461114,9578500.0,2
2012-07-30,2036671.08869,133580.796159919,13.4653813725,19.9791878,9585150.0,3
