Date,Difficulty,Miners_Revenue,Hash_Rate,Total_transaction_fees,Total_Bitcoins,Class
2013-12-08,707408283.051497,4256577.0,6294.61671148146,12.81918828,12095750.0,1
2013-09-22,112628548.666,684114.22,1237.33381041,36.37139814,11737600.0,3
2015-12-12,79102380900.2,1867996.46203759,656677.514044,36.96162758,14951525.0,2
2016-08-13,201893210853.0,1197995.5,1645931.21,63.74,15813512.5,3
2016-12-12,286765766820.0,1582652.84350321,2223811.75,93.1264006,16038212.5,2
2018-11-26,6653303141400.0,5473562.85458386,36711861.7326,38.27901151,17395362.5,3
2019-09-15,11890594958800.0,19411747.0474,86889448.1744,18.2430038,17938025.0,3
2015-06-02,47589591153.6,807176.43,335928.179909,17.86202728,14231600.0,3
2018-02-16,2874674234420.0,19925190.5792,22435430.5125,58.25713445,16868837.5,1
2020-10-19,19997335994446.0,9776921.35454538,124259120.51977606,50.56863160000001,18521668.75,2
2019-09-07,10771996663700.0,20094042.8606613,80321828.7902,26.71813665,17921750.0,2
2014-10-09,35002482026.1,1540765.37320104,276657.268257,13.90439876,13368450.0,2
2015-10-16,60883825480.1,1060255.17248348,396478.230872,28.3561839,14733250.0,3
2017-09-04,888171856257.0,10527922.2704,7726470.9291,325.4016802,16542562.5,2
2012-07-23,1866391.305,72280.32,14.937389216,17.55491401,9528500.0,3
2014-04-02,5006860589.21,2326614.03,51769.6170966,13.42152449,12596125.0,3
2013-01-22,3249549.58449,59714.3155,21.6458221266,45.66376477,10690550.0,1
2012-09-09,2694047.95296,80359.194,19.2847464197,22.3581976,9908900.0,2
2020-02-14,15546745765529.0,17892676.3265,104332444.722146,32.17258486,18217425.0,2
2016-05-18,194254820283.0,1770178.4303,1487094.76194,58.26811656,15559325.0,3
2019-11-05,13691480038700.0,17451427.0961,98007431.6667,43.73232482,18031475.0,3
2019-03-14,6068891541680.0,7600598.59424684,46761366.4079,37.56437664,17587450.0,2
2018-08-14,6389316883512.0,10446684.9281,43195594.4438796,26.45582537,17209912.5,2
2013-08-24,65750060.1491,668645.999063105,467.388810199,27.73017547,11604875.0,3
2020-05-15,16104807485529.0,8969982.47707204,100071790.304866,161.77900478,18378100.0,3
2013-12-31,1180923195.26,3691241.37928677,11740.8020896,10.98600975,12203800.0,3
2014-12-22,39457671307.1,1369405.44,317755.139701,14.11126208,13639050.0,3
2019-07-09,8587445349570.0,25335914.8683845,65740170.4585,71.27502267,17808537.5,2
2012-03-01,1496978.59503,33196.00752,9.89722287527,4.45115638,8461000.0,3
2013-01-29,2968775.33208,89221.1484873793,21.398900223,49.61699217,10713625.0,2
2016-09-27,241227200229.0,1276511.72,2026558.28,63.63,15898125.0,3
2013-01-09,3249549.58448721,54444.64,21.6458221266411,152.17272586,10644700.0,2
2012-02-24,1376302.26789,42354.78,11.4255315904,4.26574148,8414250.0,3
2013-10-31,390928787.638,972503.4,3692.3033335,35.40296681,11933325.0,2
2017-06-24,711697198173.0,5333679.66825,5165284.30391,307.20884336,16409575.0,3
2016-12-17,310153855703.0,1439997.29,2235585.61,81.66,16048912.5,3
2013-02-20,3651011.63069321,148166.19664,31.3982496568025,47.39446,10805950.0,2
2013-06-02,12153411.7097758,632880.10548,123.246472094622,49.50440017,11232250.0,3
2018-06-22,5077499034880.0,12793132.95,38112980.7563,68.9368202,17109525.0,3
2013-01-24,3249549.58448721,66204.322,23.9073259309171,40.13334087,10700300.0,3
2017-09-09,922724699725.0,9554034.21192,7751843.02131504,144.85041627,16553675.0,2
2017-04-16,520808749422.0,2320594.4,3779873.33045,158.85627688,16276637.5,2
2017-09-08,922724699725.0001,11151766.5641362,8027056.38302,217.76572461,16553262.5,2
2012-05-11,1733207.51384839,34310.0,10.5974601790129,12.89572253,8993400.0,3
2018-11-11,7184404942700.0,11660743.772251,52142251.1972,14.13978687,17371525.0,2
2020-07-04,15784217546288.0,9203934.10591,123188120.488637,31.87048128,18423350.0,2
2012-10-01,2864140.50781,108206.834891126,19.3632987785,16.59077226,10066800.0,3
2019-10-12,13008091667000.0,14021139.9222,86002553.9696,20.76242438,17988612.5,2
2020-04-26,15958652328578.0,13360910.3301689,108683320.694541,20.75041249,18346837.5,2
2017-05-17,559970892890.0,4421399.76340616,4314627.1309,485.9361122,16336150.0,3
2019-10-21,13008091667000.0,16722180.4358,102815083.317,20.63255238,18005362.5,3
2013-07-17,26162875.6825699,391160.84327,219.795249154928,27.59409047,11430950.0,3
2019-12-31,12948593420946.0,13152944.2201,93333320.1905527,14.84211896,18133587.5,3
2014-10-29,35985640265.1,1462243.0,309472.067304,14.37016784,13436800.0,2
2020-09-12,17345997805929.0,11755971.409291402,146586618.74770805,58.11575528999997,18487412.5,2
2015-03-22,47427554950.6,1015589.19,358360.75476,17.375943,13967750.0,3
2021-06-24,19932791027263.0,23766132.38608606,104040763.72581212,48.014583519999995,18741987.5,2
2020-03-15,16552923967337.0,8103100.66412195,97919187.3154346,44.30830399,18272150.0,2
2019-04-06,6379562392400.0,9151289.67996,44081037.5637,80.84759712,17631262.5,2
2016-02-11,144116447847.349,1824977.0,1375500.95626678,44.34470738,15198525.0,2
2014-05-31,10455720138.4848,3027285.3,79003.0134229165,10.68373708,12842275.0,2
2018-06-11,4940704885520.0,11987207.9874201,34384528.0828,24.67101897,17088125.0,2
2019-10-10,12874760266700.0,17831123.6787614,103681264.293,33.46657648,17985087.5,3
2018-05-25,4306949573981.0,16379524.3333,37681533.9302713,30.37696335,17055012.5,3
2012-07-18,1866391.305,85020.1226576248,13.2673705459,26.41059394,9491550.0,2
2017-12-13,1590896927260.0,50475052.9011524,14709608.2285,604.2979452,16739462.5,3
2018-05-04,4022059196164.0,16751009.25,27591395.3008549,39.37853649,17015450.0,2
2021-02-20,21724134900047.0,59691256.6875985,157667240.0893604,147.82061349000003,18634168.75,2
2019-09-28,12759819404400.0,16399123.5708253,100852756.02,23.16487157,17962925.0,2
2021-03-31,21865558044611.0,63698731.011946015,170650017.401989,102.46134312999995,18669943.75,2
2014-08-19,23844670038.8,2809058.54143764,187281.346344,12.80157171,13163225.0,3
2019-09-11,10771996663680.0,23997270.4992,98528109.9825847,34.77775666,17930150.0,2
2012-05-24,1591074.96185,29967.85,9.17476078111,19.10534085,9068150.0,3
2013-07-14,26162875.6825699,422816.43768,211.991867528126,23.34949228,11410900.0,3
2017-11-20,1364422081125.0,20065228.0629,11869513.1697352,329.01817427,16691612.5,2
2013-07-31,31256960.7278,545157.638204102,287.451509932,49.24699101,11491500.0,2
2017-06-18,711697198173.0,5066179.98396,5129905.6443,277.9955946,16398587.5,2
2012-09-01,2440642.60692,111625.443098407,18.5627253151,35.33261176,9844750.0,2
2019-06-24,7409399249090.0,25683149.7809107,65193212.5005,102.09827261,17778287.5,2
2014-08-24,23844670038.8,1694749.56,158833.546899,14.33068278,13186125.0,2
2014-01-16,1789546951.05324,3044327.0,17791.7722903476,14.93833901,12270750.0,3
2012-04-10,1626553.48133,47035.8564852886,11.5624669337,6.99130937,8763150.0,2
2014-05-12,8853416309.13,2174293.30588062,74817.9710179,13.93177704,12764450.0,2
2016-06-10,196061423939.0,2116658.57487,1403462.33970866,52.81223012,15643300.0,2
