,matching_date
0,2009-01-03
1,2009-01-04
2,2009-01-05
3,2009-01-06
4,2009-01-07
5,2009-01-08
6,2009-01-09
7,2009-01-10
8,2009-01-11
9,2009-01-12
10,2009-01-13
11,2009-01-14
12,2009-01-15
13,2009-01-16
14,2009-01-17
15,2009-01-18
16,2009-01-19
17,2009-01-20
18,2009-01-21
19,2009-01-22
20,2009-01-23
21,2009-01-24
22,2009-01-25
23,2009-01-26
24,2009-01-27
25,2009-01-28
26,2009-01-29
27,2009-01-30
28,2009-01-31
29,2009-02-01
30,2009-02-02
31,2009-02-03
32,2009-02-04
33,2009-02-05
34,2009-02-06
35,2009-02-07
36,2009-02-08
37,2009-02-09
38,2009-02-10
39,2009-02-11
40,2009-02-12
41,2009-02-13
42,2009-02-14
43,2009-02-15
44,2009-02-16
45,2009-02-17
46,2009-02-18
47,2009-02-19
48,2009-02-20
49,2009-02-21
50,2009-02-22
51,2009-02-23
52,2009-02-24
53,2009-02-25
54,2009-02-26
55,2009-02-27
56,2009-02-28
57,2009-03-01
58,2009-03-02
59,2009-03-03
60,2009-03-04
61,2009-03-05
62,2009-03-06
63,2009-03-07
64,2009-03-08
65,2009-03-09
66,2009-03-10
67,2009-03-11
68,2009-03-12
69,2009-03-13
70,2009-03-14
71,2009-03-15
72,2009-03-16
73,2009-03-17
74,2009-03-18
75,2009-03-19
76,2009-03-20
77,2009-03-21
78,2009-03-22
79,2009-03-23
80,2009-03-24
81,2009-03-25
82,2009-03-26
83,2009-03-27
84,2009-03-28
85,2009-03-29
86,2009-03-30
87,2009-03-31
88,2009-04-01
89,2009-04-02
90,2009-04-03
91,2009-04-04
92,2009-04-05
93,2009-04-06
94,2009-04-07
95,2009-04-08
96,2009-04-09
97,2009-04-10
98,2009-04-11
99,2009-04-12
100,2009-04-13
101,2009-04-14
102,2009-04-15
103,2009-04-16
104,2009-04-17
105,2009-04-18
106,2009-04-19
107,2009-04-20
108,2009-04-21
109,2009-04-22
110,2009-04-23
111,2009-04-24
112,2009-04-25
113,2009-04-26
114,2009-04-27
115,2009-04-28
116,2009-04-29
117,2009-04-30
118,2009-05-01
119,2009-05-02
120,2009-05-03
121,2009-05-04
122,2009-05-05
123,2009-05-06
124,2009-05-07
125,2009-05-08
126,2009-05-09
127,2009-05-10
128,2009-05-11
129,2009-05-12
130,2009-05-13
131,2009-05-14
132,2009-05-15
133,2009-05-16
134,2009-05-17
135,2009-05-18
136,2009-05-19
137,2009-05-20
138,2009-05-21
139,2009-05-22
140,2009-05-23
141,2009-05-24
142,2009-05-25
143,2009-05-26
144,2009-05-27
145,2009-05-28
146,2009-05-29
147,2009-05-30
148,2009-05-31
149,2009-06-01
150,2009-06-02
151,2009-06-03
152,2009-06-04
153,2009-06-05
154,2009-06-06
155,2009-06-07
156,2009-06-08
157,2009-06-09
158,2009-06-10
159,2009-06-11
160,2009-06-12
161,2009-06-13
162,2009-06-14
163,2009-06-15
164,2009-06-16
165,2009-06-17
166,2009-06-18
167,2009-06-19
168,2009-06-20
169,2009-06-21
170,2009-06-22
171,2009-06-23
172,2009-06-24
173,2009-06-25
174,2009-06-26
175,2009-06-27
176,2009-06-28
177,2009-06-29
178,2009-06-30
179,2009-07-01
180,2009-07-02
181,2009-07-03
182,2009-07-04
183,2009-07-05
184,2009-07-06
185,2009-07-07
186,2009-07-08
187,2009-07-09
188,2009-07-10
189,2009-07-11
190,2009-07-12
191,2009-07-13
192,2009-07-14
193,2009-07-15
194,2009-07-16
195,2009-07-17
196,2009-07-18
197,2009-07-19
198,2009-07-20
199,2009-07-21
200,2009-07-22
201,2009-07-23
202,2009-07-24
203,2009-07-25
204,2009-07-26
205,2009-07-27
206,2009-07-28
207,2009-07-29
208,2009-07-30
209,2009-07-31
210,2009-08-01
211,2009-08-02
212,2009-08-03
213,2009-08-04
214,2009-08-05
215,2009-08-06
216,2009-08-07
217,2009-08-08
218,2009-08-09
219,2009-08-10
220,2009-08-11
221,2009-08-12
222,2009-08-13
223,2009-08-14
224,2009-08-15
225,2009-08-16
226,2009-08-17
227,2009-08-18
228,2009-08-19
229,2009-08-20
230,2009-08-21
231,2009-08-22
232,2009-08-23
233,2009-08-24
234,2009-08-25
235,2009-08-26
236,2009-08-27
237,2009-08-28
238,2009-08-29
239,2009-08-30
240,2009-08-31
241,2009-09-01
242,2009-09-02
243,2009-09-03
244,2009-09-04
245,2009-09-05
246,2009-09-06
247,2009-09-07
248,2009-09-08
249,2009-09-09
250,2009-09-10
251,2009-09-11
252,2009-09-12
253,2009-09-13
254,2009-09-14
255,2009-09-15
256,2009-09-16
257,2009-09-17
258,2009-09-18
259,2009-09-19
260,2009-09-20
261,2009-09-21
262,2009-09-22
263,2009-09-23
264,2009-09-24
265,2009-09-25
266,2009-09-26
267,2009-09-27
268,2009-09-28
269,2009-09-29
270,2009-09-30
271,2009-10-01
272,2009-10-02
273,2009-10-03
274,2009-10-04
275,2009-10-05
276,2009-10-06
277,2009-10-07
278,2009-10-08
279,2009-10-09
280,2009-10-10
281,2009-10-11
282,2009-10-12
283,2009-10-13
284,2009-10-14
285,2009-10-15
286,2009-10-16
287,2009-10-17
288,2009-10-18
289,2009-10-19
290,2009-10-20
291,2009-10-21
292,2009-10-22
293,2009-10-23
294,2009-10-24
295,2009-10-25
296,2009-10-26
297,2009-10-27
298,2009-10-28
299,2009-10-29
300,2009-10-30
301,2009-10-31
302,2009-11-01
303,2009-11-02
304,2009-11-03
305,2009-11-04
306,2009-11-05
307,2009-11-06
308,2009-11-07
309,2009-11-08
310,2009-11-09
311,2009-11-10
312,2009-11-11
313,2009-11-12
314,2009-11-13
315,2009-11-14
316,2009-11-15
317,2009-11-16
318,2009-11-17
319,2009-11-18
320,2009-11-19
321,2009-11-20
322,2009-11-21
323,2009-11-22
324,2009-11-23
325,2009-11-24
326,2009-11-25
327,2009-11-26
328,2009-11-27
329,2009-11-28
330,2009-11-29
331,2009-11-30
332,2009-12-01
333,2009-12-02
334,2009-12-03
335,2009-12-04
336,2009-12-05
337,2009-12-06
338,2009-12-07
339,2009-12-08
340,2009-12-09
341,2009-12-10
342,2009-12-11
343,2009-12-12
344,2009-12-13
345,2009-12-14
346,2009-12-15
347,2009-12-16
348,2009-12-17
349,2009-12-18
350,2009-12-19
351,2009-12-20
352,2009-12-21
353,2009-12-22
354,2009-12-23
355,2009-12-24
356,2009-12-25
357,2009-12-26
358,2009-12-27
359,2009-12-28
360,2009-12-29
361,2009-12-30
362,2009-12-31
363,2010-01-01
364,2010-01-02
365,2010-01-03
366,2010-01-04
367,2010-01-05
368,2010-01-06
369,2010-01-07
370,2010-01-08
371,2010-01-09
372,2010-01-10
373,2010-01-11
374,2010-01-12
375,2010-01-13
376,2010-01-14
377,2010-01-15
378,2010-01-16
379,2010-01-17
380,2010-01-18
381,2010-01-19
382,2010-01-20
383,2010-01-21
384,2010-01-22
385,2010-01-23
386,2010-01-24
387,2010-01-25
388,2010-01-26
389,2010-01-27
390,2010-01-28
391,2010-01-29
392,2010-01-30
393,2010-01-31
394,2010-02-01
395,2010-02-02
396,2010-02-03
397,2010-02-04
398,2010-02-05
399,2010-02-06
400,2010-02-07
401,2010-02-08
402,2010-02-09
403,2010-02-10
404,2010-02-11
405,2010-02-12
406,2010-02-13
407,2010-02-14
408,2010-02-15
409,2010-02-16
410,2010-02-17
411,2010-02-18
412,2010-02-19
413,2010-02-20
414,2010-02-21
415,2010-02-22
416,2010-02-23
417,2010-02-24
418,2010-02-25
419,2010-02-26
420,2010-02-27
421,2010-02-28
422,2010-03-01
423,2010-03-02
424,2010-03-03
425,2010-03-04
426,2010-03-05
427,2010-03-06
428,2010-03-07
429,2010-03-08
430,2010-03-09
431,2010-03-10
432,2010-03-11
433,2010-03-12
