Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,Bitcoin_my_wallet_num_users_4,Volume_4,Difficulty_4,wallet_num_transaction_4,Bitcoin_Avg_Block_Size_4,Miners_Revenue_4,Bitcoin_Cost_Transaction_4,Bitcoin_Cost_percentage_of_Transaction_Volume_4,Estimated_Transaction_Volume_4,num_transaction_per_Block_4,num_of_unique_addresses_4,num_of_transaction_4,Total_transaction_fees_4,Total_Bitcoins_4,Median_transaction_confirmation_time_4,Class
2014-10-13,2342157.0,5406042.432,35002482026.1332,34064.0,0.330927004133,1446969.57,266217.371341478,17.7561886589,1.68522199119,208459.0,777900.516941769,467.0,181958.0,81491.0,13.09047261,13377975.0,7.78333333333333,5485699412649.0,29225294776584.477,1.2251737479897777e+21,1160356096.0,0.10951268206444262,2093720936505.985,5.022796273926257e+21,315.282235690449,2.839973159590388,43455154681.0,3.661813659488331e+23,218089.0,33108713764.0,6640783081.0,171.36047315316023,178970215100625.0,60.580277777777724,1.2848369279231744e+19,1.5799318364992363e+20,4.288412209290244e+31,39526370054144.0,0.03624070379015572,3.0295504831960627e+18,1.886727469592319e+16,5598.210857719388,4.785985222931069,9058618089646580.0,4.707303285880759e+17,101847563.0,6024395339069912.0,541164054053771.0,2243.1895802480844,2.394259063360784e+21,471.51649537036974,3.0092898045937583e+25,8.541178547782558e+26,1.5010507127633198e+42,1.3464262695243612e+18,0.011993027532947691,4.383667359963499e+24,99402.88814196785,8.065447547193813,1.888350468349636e+21,47562811921.0,1.096186927106483e+21,4.409999992889586e+19,29364.41175927495,3.203033789316398e+28,3669.9700556327093,1
2013-02-21,122017.0,1711160.76818,3651011.63069,11269.0,0.157667349584,126106.981,29.2203363858,2.14030857094,1.65061525640845,287961.35874948,1477965.6139,310.0,43549.0,58920.0,56.97276299,10814300.0,7.4,14888148289.0,2928071174558.367,13329885927433.652,126990361.0,0.024858993124843264,15902970656.93436,729022.3534806967,4.580920778839224,2.724530724688333,82921744132.84671,4.7715262766396835e+24,96100.0,1896515401.0,3471566400.0,3245.895722714714,116949084490000.0,54.760000000000005,1816607189778913.0,5.01040052034301e+18,4.866756855683122e+19,1431054378109.0,0.003919451559320915,2005475618477579.0,24949.143084984284,9.804584005746731,4.497151980724133,2.387825811037126e+16,3.228442009586921e+18,29791000.0,82591349198149.0,204544692288000.0,184927.64770048016,1.264722484400207e+21,405.22400000000005,2.2165695947525364e+20,8.573600803279617e+24,1.7768585883839373e+26,1.612655178691032e+16,0.0006179695391810048,2.529044757153153e+20,20.984835182000964,7.423067669770734,6.876015650033299e+21,9235210000.0,3.5967706662301906e+18,1.205177326960896e+19,10535839.042737674,1.3677088363049159e+28,2998.6576000000005,2
2020-10-11,54727717.0,97927463.147,19298087186263.0,84352.0,1.0668805142857147,10659930.880493835,134303836.4311328,41.4820426750014,1.6359052672630616,57355.843687999986,2133739.1510219164,1829.2571428571428,541483.0,256096.0,51.2299918,18514418.75,14.733333333333333,2995123008032089.0,9589788038407044.0,3.724161690486082e+26,7115259904.0,1.1382340317625512,113634126376906.06,3.2535214507076544e+32,1720.7598644906375,2.676186043459029,3289692805.1622877,2.072837723920452e+25,3346181.6946938774,293203839289.0,65585161216.0,2624.5120598280673,342783701650351.56,217.0711111111111,1.639162443637689e+23,9.391036147186472e+23,7.1869196998741e+39,600186403422208.0,1.2143597091843332,1.21133193284312e+21,2.422508200185308e+24,71380.63413223025,4.377986844670518,188683106314426.38,9.714578855281834e+18,6121026766.316594,1.587648945097256e+17,1.6796097446772736e+16,134453.731303993,6.346440993029675e+21,3198.1810370370367,8.970761833243189e+30,9.196403462157481e+31,1.386938029688415e+53,5.062692350147009e+19,1.2955767110624323,1.2912714677442659e+28,2961014.511241837,7.161971739204892,1.0822078752336523e+19,11196931933904.389,8.596849137380974e+22,4.3014133717287106e+21,6888063.552182965,1.1750066611711723e+29,47119.86727901234,1
2015-07-11,3745241.0,6677463.4551,51076366303.5,41777.0,0.730473594389,1081003.5,350384.751809,5.28016792931,1.76332278210929,234825.05682691,1292504.56927,819.0,275689.0,204729.0,45.57106997,14375450.0,9.31666666667,14026830148081.0,44588518194196.03,2.6087951947693105e+21,1745317729.0,0.5335916720995852,1168568567012.25,1.5072343819960854e+22,27.880173361713855,3.1093072339056467,55142807313.76151,2.7907976483839503e+24,670761.0,76004424721.0,41913963441.0,2076.722418210636,206653562702500.0,86.8002777778399,5.253385937062903e+19,2.9773820075880546e+20,1.3324777897884793e+32,72914138764433.0,0.3897746266546207,1.2632267109302267e+18,4.301655178241608e+16,147.21199724812448,5.482712282123046,1.2948912861049396e+16,2.159216852873625e+18,549353259.0,2.095358384690777e+16,8581003821312489.0,94638.46262854451,2.970737957951654e+21,808.6892546304978,1.9675196400311405e+26,1.9881359547541502e+27,6.805812368251443e+42,3.046133975161717e+18,0.28472007253403125,1.3655524958090635e+24,777.3040666792187,9.667791474817985,3.0407291984426303e+21,449920319121.0,5.776672577170156e+21,1.7567803313334845e+21,4312776.002298633,4.27056949776361e+28,7534.288222310167,2
2013-02-24,124685.0,867820.909672,3651011.63069,9656.0,0.145912884443,149404.79939,35.3910906536,2.29275058913,1.26734628157931,331189.18148002,1901371.97163,404.0,43083.0,65164.0,64.694706,10827325.0,8.41666666667,15546349225.0,753113131263.9375,13329885927433.652,93238336.0,0.02129056984647627,22321794080.766144,1568829.6414749427,5.256705263955963,1.6061665974329036,109686273929.40562,1.3069782204022287e+25,163216.0,1856144889.0,4246346896.0,4185.4049844264355,117230966655625.0,70.84027777783389,1938396553119125.0,6.535673226593985e+17,4.866756855683122e+19,900309372416.0,0.003106568457734512,3334983166661755.0,44328.37791946829,12.052314090817807,2.035569264853483,3.63269072822731e+16,6.873869184480446e+18,65939264.0,79968290252787.0,276708949130944.0,270773.5449584028,1.269297776044615e+21,596.2390046303381,2.416889742256581e+20,5.671793884821728e+23,1.7768585883839373e+26,8693387300048896.0,0.0004532883643876845,4.982624909841265e+20,27.63295023210233,2.579771138709191,1.2031078688516607e+22,26639462656.0,3.4452738489608223e+18,1.8031461961168835e+19,17517614.88366165,1.374309954301226e+28,5018.344955640667,1
2013-09-21,441632.0,1291997.5152,112628548.666347,9008.0,0.108690122956,635632.06,1046.97476265102,12.0645344114,4.3561768677,118843.0,452074.31344504,286.0,55887.0,52686.0,27.4817632,11736500.0,6.26666666666667,195038823424.0,1669257579282.9744,1.2685189974687694e+16,81144064.0,0.011813542828190398,404028115699.8437,1201558313136.8816,145.55299056385476,18.976276902684585,14123658649.0,4.1767581207948924e+22,81796.0,3123356769.0,2775814596.0,755.2473085808742,137745432250000.0,39.27111111111115,8.613538566638797e+16,2.1566766446623698e+18,1.42871453640597e+24,730945728512.0,0.0012840154225419863,2.5681322348021002e+17,1147647828.7732975,1756.0290633398054,82.6640184785444,1678497964823107.0,9.239096309113064e+16,23393656.0,174555039749103.0,146246567804856.0,20755.527691856914,1.616649265602125e+21,246.09896296296336,3.804014264261825e+22,2.786420865993655e+24,1.6091404469391717e+32,6584359122436096.0,0.0001395597941534888,1.6323871827596625e+23,21185.67306208159,360.0990850873605,1.994777336334725e+20,6690585616.0,9.75535750645812e+18,7.705146671366644e+18,570398.4971186542,1.897380410573934e+28,1542.220167901238,2
2020-07-09,51061792.0,121129125.3966,15784217546288.0,125019.0,1.26709600609756,10324012.452296,128680584.459468,27.8441132110933,0.746324759930199,148305.10213171,976219.418168258,2211.69512195122,708162.0,362718.0,55.08128328,18428193.75,8.775,2607306602251264.0,1.4672265019345246e+16,2.4914152354854596e+26,15629750361.0,1.6055322886683878,106585233115162.86,2.741903078021467e+32,775.2946405121805,0.5570006472848691,21994403318.296936,9.082172957100634e+23,4891595.312462821,501493418244.0,131564347524.0,3033.9477677716077,339598324887539.06,77.000625,1.3313374740438078e+23,1.777238629380418e+24,3.932504007503884e+39,1954015760381859.0,2.034363550632389,1.1003872739118133e+21,2.130782269554515e+24,21587.39174237504,0.41570337436584537,3261882230446048.5,9.303413544203091e+17,10818717491.133472,3.551385820505075e+17,4.772075700521023e+16,167113.7364533516,6.258183728203017e+21,675.680484375,6.798047718143031e+30,2.1527536079790213e+32,6.207149875609069e+52,2.442890963471796e+20,2.5777339299567514,1.1360411918213611e+28,601081.7796069112,0.3102497210757632,4.837537773279113e+20,23927704700908.242,2.5149564854205152e+23,1.7309177539415845e+22,9204839.05756632,1.1532702226642254e+29,5929.096250390626,2
2015-02-11,2929390.0,1667205.47753,44455415962.3,41316.0,0.37019118842,757105.79,300545.137102,8.06564313717,2.13684034807623,206641.77442247,819424.174578,638.0,191881.0,93868.0,13.49018655,13827000.0,7.68333333333,8581325772100.0,2779574104306.0356,1.976284008381118e+21,1707011856.0,0.13704151598381192,573209177251.5242,8.15903547571369e+21,65.05459921617751,4.566086673166543,42700822936.46698,4.508531302345963e+23,407044.0,36818318161.0,8811201424.0,181.98513315380092,191185929000000.0,59.03361111105989,2.513804990353202e+19,4.634121171899566e+18,8.785652765222419e+31,70526901842496.0,0.05073156166492576,4.339799869782653e+17,2.714745463655481e+16,524.707181709307,9.75699823603543,8823773820891243.0,5.5020726044210714e+17,259694072.0,7064735707050841.0,827089855268032.0,2455.0133955713645,2.643527840283e+21,453.57491203644673,7.363915200690766e+25,7.726032201328699e+24,3.905698481782938e+42,2.913889476524565e+18,0.01878037710314138,3.2856876088536925e+23,4232.100879177484,20.849147506869112,1.8233602794515047e+21,165684817936.0,1.3555885522046225e+21,7.763727053429963e+19,33118.588689006654,3.655205944759304e+28,3484.967240811854,1
2021-01-20,65289426.0,579558848.8817999,20607418304386.0,115047.0,1.2771157234042554,34297105.93950238,144440445.1597046,108.94576057070282,0.673193097983557,145190.37490666003,2021208.163186301,2232.6879432624114,755823.0,314809.0,93.48057077,18605818.75,11.783333333333333,4262709147409476.0,3.35888459317197e+17,4.246656891719432e+26,13235812209.0,1.6310245709663747,1176291475825449.5,4.352665297527593e+32,11869.178746328904,0.4531889471726989,21080244965.536495,1.6689532605837536e+25,4984895.451989337,571268407329.0,99104706481.0,8738.617111484979,346176491357851.56,138.84694444444443,2.7830983343931406e+23,1.9466712883455598e+26,8.751263496286597e+39,1522740487208823.0,2.083007124839837,4.034339336211905e+22,3.0134671024552356e+24,1293096.7058684235,0.30508367131909575,3060648669670476.5,8.257206214488859e+18,11129715974.080221,4.3177780143262675e+17,3.119905354257713e+16,816890.9153221045,6.440897053715128e+21,1636.0798287037035,1.8170689275408422e+31,1.128210571024803e+35,1.8034094755988144e+53,1.7518672483191344e+20,2.660241151096046,1.383661636099614e+30,140877404.1123058,0.2053802218394993,4.443767278070267e+20,24849182667263.977,3.2634759321221225e+23,9.821742846685164e+21,76363429.02113807,1.1983816316883268e+29,19278.47398155864,2
2013-12-01,741665.0,62569704.1613,707408283.051,19044.0,0.18678648,8881509.00923624,5731.96940766,82.930352293608,1.93716949839,211339.0,1408867.7957,367.21,144106.0,73442.0,19.37686102,12060625.0,6.18333333333,550066972225.0,3914967878832603.0,5.004264789291637e+17,362673936.0,0.0348891891107904,78881202281144.52,1079482125132910.8,6877.443331541933,3.7526256654925647,44664172921.0,3.939861617448006e+24,134843.18409999998,20766539236.0,5393727364.0,375.4627429883954,145458675390625.0,38.23361111106989,4.0796542095525466e+17,2.4495838197954816e+23,3.540058362525371e+26,6906762437184.0,0.006516828824058869,7.005841087193713e+20,188326567774.4772,570348.7983640976,7.2694719780676715,9439281640951220.0,2.7964736148223724e+18,49515765.63336099,2992582903143016.0,396126125066888.0,7275.289389074117,1.7543225368830565e+21,236.41116203665473,3.025736739327789e+23,1.532697349229105e+31,2.5042666081344075e+35,1.315323838537321e+17,0.0012172555168084955,6.222244073318838e+27,47299226.7785706,14.082199385313512,1.9948883427169896e+21,18182684298.22649,4.3124915184032743e+20,2.909229487716239e+19,140972.27137236987,2.1158226246395216e+28,1461.809018592527,2
