Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,Bitcoin_my_wallet_num_users_4,Volume_4,Difficulty_4,wallet_num_transaction_4,Bitcoin_Avg_Block_Size_4,Miners_Revenue_4,Bitcoin_Cost_Transaction_4,Bitcoin_Cost_percentage_of_Transaction_Volume_4,Estimated_Transaction_Volume_4,num_transaction_per_Block_4,num_of_unique_addresses_4,num_of_transaction_4,Total_transaction_fees_4,Total_Bitcoins_4,Median_transaction_confirmation_time_4,Hash_Rate_4,Total_Output_Volume_4,Bitcoin_my_wallet_num_users_5,Volume_5,Difficulty_5,wallet_num_transaction_5,Bitcoin_Avg_Block_Size_5,Miners_Revenue_5,Hash_Rate_5,Bitcoin_Cost_Transaction_5,Bitcoin_Cost_percentage_of_Transaction_Volume_5,Estimated_Transaction_Volume_5,Total_Output_Volume_5,num_transaction_per_Block_5,num_of_unique_addresses_5,num_of_transaction_5,Total_transaction_fees_5,Total_Bitcoins_5,Median_transaction_confirmation_time_5,Class
2018-06-04,25103521.0,294372762.302,4306949573980.0,48566.0,1.05589237158,17156875.25,39180231.3025,82.4720914858,2.23539932722279,103191.06680438,1494853.70118,1147.08196721,449728.0,209916.0,20.71075272,17073387.5,6.45,630186766597441.0,8.66553231853098e+16,1.8549814632806503e+25,2358656356.0,1.1149087003608367,294358368344062.56,1535090524917401.0,6801.645874042164,4.997010152148102,10648396268.226015,2234587587931.545,1315797.0394983634,202255273984.0,44064727056.0,428.93527822898733,291500560725156.25,41.6025,1.5819906729200958e+22,2.5508966854232187e+25,7.989311623017394e+37,114550504585496.0,1.1772235917191793,5.050269804472631e+21,6.0145201836539916e+22,560945.9607780194,11.170313132237318,1098819370674021.4,3.340381526430359e+18,1509327056.5168767,9.095985985827635e+16,9249891244687296.0,8883.572480284956,4.976902029727874e+21,268.336125,3.9713536079453756e+29,7.509145036350488e+33,3.4409562291148227e+50,5.563259805699199e+18,1.2430214101402899,8.66468490141788e+28,46262386.59587479,24.970110460671194,1.1338834308516972e+20,1731321849152.6575,4.090719585434291e+22,1.9417001705197784e+21,183985.4729093788,8.49725769030805e+28,1730.76800625,2.3565029196911818e+30,4.99338168813772e+24,9.969495869548251e+36,2.210487766876845e+42,1.4820024965069914e+63,2.7018527572358728e+23,1.3124968246777464,1.4865891793418513e+36,9.23283294585171e+37,3815355779.686433,24.970110460671194,1.1700664086139708e+25,7.464375097917109e+30,1985968072599685.0,1.8397111377181927e+28,4.075939329948298e+26,3810477.633498403,1.4507697323398434e+36,11163.453640312502,2
2015-07-08,3723311.0,3839394.28406,49402014931.2,47254.0,0.667957955512,945214.56,338898.672582,5.04916913281,1.6088517213158,275319.28683318,1298475.19061,861.0,278945.0,187202.0,42.4508178,14364475.0,11.0,13863044802721.0,14740948468472.6,2.440559079262507e+21,2232940516.0,0.44616783033177093,893430564435.9937,114852310277.84166,25.49410893172129,2.5884038611808124,75800709702.33084,1686037820629.6755,741321.0,77810313025.0,35044588804.0,1802.071931888797,206338142025625.0,121.0,5.161642720746393e+19,5.659631329147671e+19,1.205685360742021e+32,105515371143064.0,0.2980213517636346,8.444835778539195e+17,3.8923295496136536e+16,128.72406788654285,4.164358007521213,2.0869397336694636e+16,2.189278280517787e+18,638277381.0,2.1704797766758624e+16,6560417113286408.0,76499.42724310534,2.9639390826735395e+21,1331.0,1.9218401120224973e+26,2.1729556175016468e+26,5.956328619370658e+42,4.986023347994346e+18,0.19906573282295995,7.982181734684183e+23,649.9495902224713,6.69983454857574,5.745747591377033e+21,549556825041.0,6.054444813048485e+21,1.228123204441442e+21,3247463.2477014214,4.257542885458699e+28,14641.0,1.3191053176157613e+22,2.8427235325936663e+24,7.155608429334597e+32,8.342833377351891e+32,2.942546353892831e+53,2.3560954728612485e+23,0.13296753990892235,7.544874396189547e+29,4.47043041135839e+27,3281.7054088338105,6.69983454857574,1.5819151291813864e+27,3.691205980836093e+30,473168426360301.0,1.6888571083758094e+27,2.2990712011784684e+26,137857470.64036933,6.115736833959935e+35,161051.0,1
2012-08-10,16625.0,367448.180524,2036671.08869,1014.0,0.071979039832,91820.41596,15.9964680966,3.06282450916,4.12350755947918,226661.86209079,1920172.47218,319.0,27985.0,29979.0,17.37179137,9670350.0,8.85,276390625.0,135018165370.39812,4148029123505.7095,1028196.0,0.005180982175136644,8430988787.067423,255.8869915655416,9.380893973911194,17.003314593081946,51375599726.46431,3687062322917.853,101761.0,783160225.0,898740441.0,301.7791354028065,93515669122500.0,78.32249999999999,4594994140625.0,4.9612179203041336e+16,8.448170990888199e+18,1042590744.0,0.0003729221223530425,774136897382626.6,4093.2880969131393,28.732031981126553,70.11329626077607,1.1644889100031482e+16,7.079795575678907e+18,32461759.0,21916738896625.0,26943339680739.0,5242.444180036536,9.043292508987679e+20,693.1541249999999,7.639177758789062e+16,1.8229904979988171e+22,1.7206145609451544e+25,1057187014416.0,2.6842576299083624e-05,7.10815719276566e+19,88.00117174976336,289.1127071513135,2.639452247253879e+21,10355301121.0,6.133399380220507e+17,8.077343802888745e+17,91070.64656446541,8.7451803714289e+27,6134.414006249999,65478.15245246356,1.3594428573080394e+25,1.2700133023986816e+21,6.698545416022061e+27,3.5043259310560337e+31,1071987632617824.0,1.9321028686252394e-06,6.526739501488088e+24,1047419.1767301443,269.53214566997383,289.1127071513135,5.9826316126228454e+26,2.610364752104621e+31,3303341057599.0,1.7164318165547086e+22,2.421506898668017e+22,1582060.2720489004,8.456895500484747e+34,54289.563955312486,2
2019-11-01,43063823.0,160663136.8662,13691480038694.0,87270.0,1.24109290769,15476389.7763,88478931.3657822,48.3729391425,0.74615344938,226201.690511,1253351.67495788,2432.20769231,563151.0,316187.0,40.18774408,18024137.5,10.975,1854492851375329.0,2.581264354768731e+16,1.8745662564995625e+26,7616052900.0,1.5403116055184187,239518640507963.16,7828521295630797.0,2339.941241284009,0.5567449700216721,51167204790.034225,1570890421119.7234,5915634.258531935,317139048801.0,99974218969.0,1615.0547742395752,324869532618906.25,120.45062499999999,7.986155190639247e+22,4.147140283180521e+24,2.5665586482073096e+39,664652936583000.0,1.9116698092415063,3.706883839190716e+21,6.926591984116816e+23,113189.83526165727,0.4154171798066353,1.1574108222228278e+16,1.968878140485695e+18,14388051148.493935,1.7859717247133194e+17,3.1610548373151204e+16,64905.40794232223,5.855493125483901e+21,1321.9456093749998,3.4391437358021983e+30,6.662925669199635e+32,3.5139986500067836e+52,5.800426177559841e+19,2.3725598420947285,5.736917915078289e+28,5475325.012661748,0.3099649616444326,2.618082846025301e+21,34994728680716.676,1.0057717627440306e+23,9.99484445846156e+21,2608401.923794045,1.055402132240266e+29,14508.353062890623,6.12857456761449e+31,2.467696715165702e+24,1.4810267711014463e+38,1.0704865387199381e+41,4.811184237256554e+65,5.062031925156473e+24,2.9445671930938735,8.878677776838994e+35,5.422497285380408e+39,264857563.6228948,0.3099649616444326,5.9221476566877324e+26,3.092891811240991e+30,8.511444828754046e+16,5.664013739610636e+28,3.1602398847875853e+27,104825788.97121476,1.9022713149291736e+36,159229.17486522457,2
2020-05-03,48314809.0,111964108.685,15958652328578.0,82822.0,1.19645580952381,19630255.3423323,133275896.910094,69.5408005495611,2.45883201868246,88757.48438065,729928.366536047,1677.09523809524,553075.0,281752.0,57.28031251,18360087.5,7.04583333333333,2334320768706481.0,1.2535961633626492e+16,2.5467858414442804e+26,6859483684.0,1.4315065041432755,385346924805165.8,1.7762464697190002e+16,4835.922941073837,6.045854896098062,7877891033.581328,532795420273.98175,2812648.4376417296,305891955625.0,79384189504.0,3281.0342012432625,337092813007656.25,49.64376736111106,1.127822620847868e+23,1.4035777708183468e+24,4.064326979895425e+39,568116157676248.0,1.712734273253342,7.56445852930793e+21,2.3673084138518785e+24,336293.9527182626,14.865741598834033,699221790365557.4,3.889024908184741e+17,4717079301.204961,1.6918119335729686e+17,2.236665416113101e+16,187938.66440321231,6.189053542441707e+21,349.78171086516153,5.449053451214417e+30,1.571503340797554e+32,6.486118122181051e+52,4.7052516411062215e+19,2.049210871404502,1.4849225245679811e+29,23386150.69200423,36.55236142467291,6.206116713698109e+19,7910991233768.461,9.356988851608696e+22,6.301849543206984e+21,10765185.429728014,1.1363156458141471e+29,2464.503637804116,3.1550515211892108e+32,2.838709598649288e+23,2.6326997672621535e+38,1.7595197084789796e+40,1.0350970407397659e+66,3.8969835141969944e+24,2.4517902520312655,2.9149408320850175e+36,4.204923212840485e+40,1626291640.8946464,36.55236142467291,5.508393072805508e+24,2.0720546604122722e+29,1.3267485726766274e+16,5.1751166091034805e+28,1.775558712497654e+27,616633185.6429193,2.0862854684766747e+36,17364.48188136149,3
2015-12-07,5117468.0,5678050.38,79102380900.226,88613.0,0.649581788079,1505973.06,593762.303117281,8.1058683015,0.880185883787,432522.0,3198317.65567799,1266.0,340611.0,185788.0,32.2348716,14929675.0,8.03333333333333,26188478731024.0,32240256117818.145,6.257186664084439e+21,7852263769.0,0.4219564994039109,2267954857445.7637,352553672603.1378,65.70510092126248,0.7747271900179024,187075280484.0,10229235826621.555,1602756.0,116015853321.0,34517180944.0,1039.0869470684866,222895195605625.0,64.53444444444439,1.3401870187469593e+20,1.8306179850107463e+20,4.9495836286622175e+32,695812649362397.0,0.2740952573743479,3.4154789166094607e+18,2.0933308061729494e+17,532.5968948045199,0.6819039364397265,8.091417446550064e+16,3.271634554837756e+19,2029089096.0,3.951627581551913e+16,6412878013223872.0,33494.83431998866,3.3277528294534095e+21,518.426703703703,6.858364182452964e+26,1.0394341145425102e+27,3.9152384949196147e+43,6.1658046297950085e+19,0.17804728738920267,5.143619235411835e+24,4317.160287073288,0.6002022189530349,3.4997160568167273e+22,2568826795536.0,1.3459678221799787e+22,1.1914357803208367e+21,1079701.6835681077,4.968226822406983e+28,4164.694519753079,1.2429409206596049e+23,1.0463726559663796e+26,3.5097459236049205e+33,5.901959269063064e+33,3.097046867403589e+54,5.463704456600251e+24,0.11565627530489385,7.746151999428021e+30,7.380114636895605e+28,34994.332723482,0.6002022189530349,1.5137041883264845e+28,3.346632139995943e+32,3252134723148576.0,4.584514458805447e+27,2.2135447075424763e+26,34804045.13612177,7.417401178481898e+35,33456.37930868305,2
2020-12-30,63407664.0,584575020.2299,18599593048299.0,128884.0,1.2565748895348836,33896444.42080255,159029615.0943604,99.03306830434842,0.5803648061000052,207164.0435902901,1743500.8467240594,1966.6162790697674,807268.0,338258.0,105.14390344000002,18585818.75,11.8,4020531853936896.0,3.41727954276788e+17,3.4594486156233245e+26,16611085456.0,1.578980453009605,1148968944372556.2,2.5290418477060424e+16,9807.54861777374,0.3368233081594966,42916940956.67961,3039795202527.512,3867579.5891022175,651681623824.0,114418474564.0,11055.240430600048,345432658607851.56,139.24,2.549325328957278e+23,1.9976562578447568e+26,6.434433642209519e+39,2140903137911104.0,1.9841071883182848,3.894596196415253e+22,4.02192551598222e+24,971271.6321622047,0.19548039392994856,8890847027111481.0,5.299885509474451e+18,7606044980.526382,5.2608172110115283e+17,3.870296436906951e+16,1162391.1323409956,6.420148783216157e+21,1643.0320000000002,1.6164676388521253e+31,1.167779947341985e+35,1.1967784724138138e+53,2.7592816002653474e+20,2.4931792709864173,1.320129635132586e+30,96188009.88999559,0.11344994091950722,1.841863821079124e+21,14958171878040.076,4.2468893882988544e+23,1.3091587321552714e+22,122218340.97837391,1.1932372163288853e+29,19387.777600000005,6.3960526674483935e+32,9.240354873309278e+24,1.0249643691120892e+39,6.826549863415125e+43,2.225959255586187e+66,3.5562724976859902e+25,3.1328664670304187,4.474770080552605e+37,1.0171617938275752e+41,9525793753.495274,0.11344994091950722,3.8156795691741396e+26,1.6110566545645516e+31,2.941698432047721e+16,3.42837790271324e+29,4.428334144213778e+27,12850513442.427145,2.2177290628443202e+36,228775.77568000008,1
2013-05-31,294983.0,1577293.26163,12153411.7098,9970.0,0.122364164603,644576.05605,119.621575857,12.3034177524,3.28455250293102,137619.3193303,499558.632543,314.0,59033.0,52390.0,39.3619438,11220925.0,7.05,87014970289.0,2487854033183.404,147705416187903.75,99400900.0,0.014972988778990077,415478292032.9728,14309.321410512004,151.37408839007145,10.788285144510429,18939077052.935085,249558827348.2321,98596.0,3484895089.0,2744712100.0,1549.3626197143583,125909157855625.0,49.7025,2.566793698076009e+16,3.9240754024592015e+18,1.7951247346989518e+21,991026973000.0,0.0018321572635512137,2.6780735885300374e+17,1711703.5765697558,1862.4186463517717,35.43468897373527,2606382892769030.5,1.2466926652911746e+17,30959144.0,205723811788937.0,143795466919000.0,60985.924363017344,1.412817217111129e+21,350.402625,7.571605054395553e+21,6.18941769042693e+24,2.181688997124186e+28,9880538920810000.0,0.00022419039297576275,1.726222111506362e+23,22914.11463592517,116.3870963592644,3.586886396170123e+20,9721171216.0,1.2144493781336318e+19,7.53344451188641e+18,2400524.5273681395,1.5853116031912695e+28,2470.3385062499997,204756679.22933725,6.227960830742471e+22,2.2334947737607633e+27,9.762526816523914e+30,2.6514964604790896e+35,9.85089730404757e+19,2.7432870148497487e-05,1.1126814405010742e+29,24493316636.659584,281921.92479217035,116.3870963592644,4.936248643560451e+25,3.111231596137075e+28,3052447761824.0,7.169259013936269e+23,3.9467715797772905e+23,94489311.53678626,1.7788662601038996e+35,17415.886469062498,3
2013-09-07,424219.0,630089.545296,86933017.7712,6454.0,0.129339211739,444056.97,643.898099215,9.55577727566,3.46008592366194,112734.13141318,409117.852337,230.0,43712.0,46470.0,22.51021597,11669625.0,7.65,179961759961.0,397012835091.32,7557349578807775.0,41654116.0,0.01672863169326588,197186592605.58087,414604.76217269,91.31287934202007,11.972194599123501,12708984385.484138,167377417100.83936,52900.0,1910738944.0,2159460900.0,506.70982301604306,136180147640625.0,58.52250000000001,7.634319784889546e+16,2.5015363673936563e+17,6.569832052376672e+23,268835664664.0,0.002163668036679062,8.756208083705864e+16,266963218.28848222,872.5655373915589,41.42482200776873,1432736315841221.5,6.8477089414009656e+16,12167000.0,83522220720128.0,100350148023000.0,11406.147550211606,1.5891712554107286e+21,447.6971250000001,3.2386235048260585e+22,1.5761919122724764e+23,5.7113532656306055e+31,1735065379741456.0,0.0002798471183289396,3.888255230339932e+22,8338.041933730314,143.33344351928193,1.6151828411047965e+20,2798410000.0,3.650923312118235e+18,4.66327137862881e+18,256754.8447409497,1.8545032611422422e+28,3424.8830062500006,171897108816.27283,2.801519975534835e+22,1.3738856245938055e+28,9.931420453029974e+28,4.965051749386666e+39,1.1198111960851358e+19,3.619520569209571e-05,1.7266068361714022e+28,110684221627352.1,79676.47163384031,143.33344351928193,1.8208623466542156e+25,1.1461518356700166e+28,643634300000.0,1.595891598193123e+23,2.167022209648808e+23,5779607.006462596,2.164135761880704e+35,26200.354997812505,2
2012-07-12,12591.0,748966.056105,1751454.53534,1923.0,0.0713379666666666,78642.5914367299,14.0175096285,2.45950246870148,2.54049762678,317339.0,2448766.94967,162.02,27087.0,24303.0,13.53006867,9445700.0,15.7,158533281.0,560950153197.4779,3067592989363.055,3697929.0,0.005089105488134435,6184657187.884422,196.4905761850902,6.049152393548674,6.454128191674813,100704040921.0,5996459573796.116,26250.480400000004,733705569.0,590635809.0,183.0627582149156,89221248490000.0,246.48999999999998,1996092541071.0,4.2013262391181056e+17,5.372749653797111e+18,7111117467.0,0.0003630464376756844,486377468403029.5,2754.3085435840144,14.87790524548443,16.396697353883756,3.195731964182922e+16,1.4683932019344183e+19,4253102.834408001,19873882747503.0,14354222066127.0,2476.8516895674147,8.42757146861993e+20,3869.8929999999996,2.513280118462496e+16,3.14665074372274e+23,9.410126748389364e+24,13674678889041.0,2.5898994669360025e-05,3.824998453165045e+19,36.59224468037566,41.65577071457159,1.0141303857818443e+22,689087721.2307843,5.3832386198161376e+17,3.488506588730845e+17,33511.97344525264,7.960431182114328e+27,60757.32009999999,38608.54652954873,3.5957527420171102e+25,3.164470997156129e+20,2.3567345974658855e+29,1.64814091715908e+31,2.6296407503625844e+16,1.8475816184229815e-06,3.0080779059838253e+24,541195.6727203395,89.99871612671252,41.65577071457159,3.218231224936247e+27,8.805160473836778e+31,111645992593.81169,1.4581578449495972e+22,8.478117562592572e+21,453419.30198148475,7.51918448168973e+34,953889.9255699997,3
